SE206,SE132,SE011,SE480,SE460,SE281,SE270,SE470,SE605,SE455,SE475,SE256,SE336,SE600,SE420,SE131,SE135,YEAR,SE375,SE136,SE380,SE025,CNTR_ID,SE446,COUNTRY,SE370,SE360,TF14,SE450,SE080,SE207,SE441
492.0,1.6647610357,2639.68,889.0,252.0,1205.0,6021.0,111.0,3969.0,7186.0,792.0,266.0,1600.0,3907.0,7891.0,10023.0,9264.0,2004,224.0,1816.0876640000001,9.0,5.19,EL,66451.0,(ELL) Greece,1090.0,1892.0,(37) Specialist olives,2945.0,0.63,781.86368789,76835.0
810.0,2.0971262655,2911.64,907.0,552.0,1710.0,6551.0,190.0,3793.0,7370.0,1189.0,301.0,1622.0,3729.0,10908.0,13739.0,12628.0,2004,144.0,2669.0511531999996,12.0,4.87,EL,61463.0,(ELL) Greece,1064.0,1998.0,(38) Permanent crops combined,3262.0,1.21,663.58973945,72648.0
43884.0,1.1491729367,4832.62,7387.0,28828.0,30326.0,43278.0,8952.0,11858.0,17887.0,1840.0,125.0,3987.0,11721.0,18177.0,49734.0,5725.0,2004,1121.0,584.44837595,663.0,9.8,EL,46319.0,(ELL) Greece,3364.0,3818.0,(45) Specialist milk,22346.0,37.0,1186.1466288,115380.0
27840.0,1.6987460793,4465.82,2502.0,21892.0,13239.0,19282.0,4304.0,8976.0,9158.0,895.0,89.0,2242.0,8866.0,22332.0,32755.0,4826.0,2004,479.0,765.04899967,37.0,6.71,EL,30268.0,(ELL) Greece,1259.0,2025.0,(48) Specialist sheep and goats,9604.0,35.01,795.09496242,70922.0
30579.0,1.2775975185,3456.52,2429.0,31185.0,20478.0,28766.0,11264.0,16464.0,12532.0,1234.0,39.0,3319.0,16427.0,24412.0,36751.0,6134.0,2004,990.0,626.10041113,118.0,10.19,EL,28128.0,(ELL) Greece,975.0,2887.0,(49) Specialist cattle,15172.0,46.55,656.84393662,86957.0
1970.0,1.9170939458,3409.84,1489.0,1103.0,3420.0,10189.0,389.0,4338.0,11205.0,998.0,427.0,2592.0,4236.0,13588.0,19533.0,17137.0,2004,773.0,2443.8585593000003,23.0,7.22,EL,58077.0,(ELL) Greece,944.0,2437.0,(60) Mixed crops,3778.0,2.19,897.51627616,74164.0
15536.0,1.7263529290000001,3943.7,1520.0,10345.0,7868.0,13967.0,4043.0,6162.0,9960.0,1499.0,79.0,2474.0,6191.0,16386.0,24112.0,8498.0,2004,724.0,1095.8596002999998,39.0,8.67,EL,43584.0,(ELL) Greece,850.0,2012.0,(80) Mixed crops and livestock,5771.0,17.11,852.10454759,69659.0
212.0,1.4338542518000001,1981.96,61763.0,101.0,7569.0,20852.0,50.0,13449.0,12629.0,5581.0,1054.0,7439.0,12970.0,21882.0,29899.0,28633.0,2004,2522.0,489.39654188,198.0,72.8,ES,134902.0,(ESP) Spain,1013.0,2112.0,(15) Specialist COP,15250.0,0.2,1039.9543778999998,162882.0
449.0,1.5428512669999999,2672.33,67215.0,366.0,12641.0,33200.0,70.0,8522.0,12258.0,1765.0,667.0,11098.0,8469.0,26328.0,51223.0,50107.0,2004,3578.0,1451.1678156,415.0,38.87,ES,141931.0,(ESP) Spain,3268.0,2200.0,(16) Specialist other fieldcrops,10535.0,0.53,844.34418765,165090.0
121.0,1.8808816912000001,5991.03,85363.0,76.0,20172.0,55705.0,14.0,1134.0,8109.0,349.0,40.0,8410.0,2007.0,51009.0,104775.0,104614.0,2004,1115.0,14467.886987,829.0,7.4,ES,117286.0,(ESP) Spain,21948.0,3231.0,(20) Specialist horticulture,39833.0,0.12,1006.0040196,165305.0
13.0,1.9645574678,2828.56,40531.0,11.0,2734.0,13910.0,10.0,820.0,9036.0,3239.0,207.0,3608.0,1378.0,14822.0,27328.0,27108.0,2004,500.0,1645.6577266,101.0,17.83,ES,112390.0,(ESP) Spain,4554.0,2411.0,(35) Specialist wine,8296.0,0.03,502.86944398,129733.0
93.0,2.1578539072,2383.67,76308.0,57.0,3794.0,13485.0,16.0,2086.0,4788.0,513.0,593.0,4197.0,2232.0,17811.0,29098.0,28412.0,2004,411.0,2360.6051128000004,92.0,12.6,ES,91840.0,(ESP) Spain,3118.0,1872.0,(36) Specialist orchards - fruits,5335.0,0.08,1147.7294322,102020.0
72.0,1.9172832650999998,2690.58,38954.0,72.0,3017.0,12851.0,11.0,6909.0,10013.0,585.0,64.0,2917.0,7142.0,18754.0,24640.0,24504.0,2004,218.0,1398.9908292000002,85.0,17.78,ES,105385.0,(ESP) Spain,5004.0,1610.0,(37) Specialist olives,7972.0,0.13,561.82941796,123441.0
7.0,2.1588147994,2480.29,39044.0,0.0,2132.0,9282.0,0.0,4527.0,5556.0,1493.0,820.0,2590.0,4724.0,15456.0,20039.0,19213.0,2004,170.0,970.85725484,49.0,21.25,ES,106601.0,(ESP) Spain,2269.0,2073.0,(38) Permanent crops combined,4722.0,0.01,503.02085802,116878.0
60153.0,1.6319423488,3130.87,61915.0,35546.0,31071.0,41837.0,4567.0,8008.0,12768.0,2413.0,82.0,6264.0,7979.0,33944.0,68276.0,8040.0,2004,943.0,449.41475891,323.0,18.7,ES,171653.0,(ESP) Spain,554.0,2682.0,(45) Specialist milk,34177.0,39.53,1521.7878609000002,254127.0
46448.0,1.72330612,3036.51,83817.0,30641.0,22091.0,32237.0,4499.0,12096.0,8157.0,1845.0,574.0,3874.0,12426.0,35876.0,55554.0,8532.0,2004,1282.0,139.66425961,310.0,65.9,ES,83670.0,(ESP) Spain,2099.0,2581.0,(48) Specialist sheep and goats,28687.0,47.83,971.17264366,151155.0
29289.0,1.3379167598000001,2871.87,49526.0,33628.0,18402.0,26929.0,12400.0,12781.0,9784.0,1378.0,154.0,3889.0,12605.0,21669.0,36029.0,6585.0,2004,1281.0,133.87856234,310.0,50.1,ES,89400.0,(ESP) Spain,894.0,2155.0,(49) Specialist cattle,24159.0,47.16,621.0155727000001,156971.0
163167.0,1.4133431013999997,3147.3,95422.0,13015.0,97996.0,124759.0,33954.0,4603.0,14969.0,2185.0,1828.0,12365.0,5214.0,56947.0,176328.0,11332.0,2004,2131.0,580.92468551,891.0,22.27,ES,69847.0,(ESP) Spain,4008.0,7368.0,(50) Specialist granivores,92797.0,291.62,559.52459741,190629.0
421.0,1.3832276444999998,4995.5,78578.0,66.0,6956.0,33343.0,37.0,7367.0,10619.0,2888.0,272.0,7543.0,7522.0,20073.0,46121.0,45428.0,2004,943.0,1262.5744757000002,223.0,42.77,ES,149210.0,(ESP) Spain,15159.0,2520.0,(60) Mixed crops,11762.0,0.22,1876.8313210000001,171657.0
91272.0,1.6540641361000001,2883.57,135881.0,51244.0,52349.0,66512.0,24082.0,23844.0,13821.0,2218.0,161.0,6758.0,24404.0,67492.0,110015.0,18582.0,2004,2402.0,156.68921613,223.0,126.51,ES,177141.0,(ESP) Spain,1392.0,3388.0,(70) Mixed livestock,36458.0,116.9,780.76179691,278664.0
21302.0,1.7068855268,2719.51,66672.0,15669.0,15608.0,26187.0,6013.0,13694.0,10778.0,3370.0,534.0,5541.0,13750.0,32034.0,44698.0,22861.0,2004,1553.0,375.30284459,150.0,73.77,ES,131934.0,(ESP) Spain,1493.0,1841.0,(80) Mixed crops and livestock,16355.0,23.9,822.56814184,174736.0
1002.0,0.9249604858,3941.53,18009.0,88.0,18114.0,40268.0,183.0,13715.0,35944.0,10258.0,3379.0,11102.0,13351.0,17398.0,37246.0,32866.0,2004,540.0,228.65145278,1184.0,157.96,EE,26028.0,(EST) Estonia,1981.0,7346.0,(15) Specialist COP,29093.0,0.96,1031.0876311000002,91154.0
460.0,0.9833163668000001,3805.2,9461.0,105.0,7271.0,19876.0,220.0,4773.0,18465.0,7806.0,2843.0,5660.0,4795.0,6205.0,19545.0,16242.0,2004,106.0,353.95508538,287.0,52.76,EE,18001.0,(EST) Estonia,1148.0,5404.0,(16) Specialist other fieldcrops,31996.0,1.12,410.82827881,68566.0
47.0,1.0845330660999999,10643.35,29064.0,27.0,23822.0,75663.0,9.0,1017.0,15054.0,10669.0,19142.0,25646.0,1406.0,11494.0,82059.0,62870.0,2004,900.0,5746.6184456,636.0,18.04,EE,26900.0,(EST) Estonia,18749.0,5911.0,(20) Specialist horticulture,24588.0,0.07,674.73216087,66569.0
71456.0,1.0803196733,12601.1,27075.0,25438.0,48612.0,99689.0,9397.0,19485.0,32539.0,16898.0,5757.0,21338.0,19460.0,31613.0,107696.0,30483.0,2004,560.0,162.67169335,1137.0,192.64,EE,21747.0,(EST) Estonia,18313.0,9729.0,(45) Specialist milk,100079.0,81.84,873.11843172,179803.0
8268.0,0.9584853893,4508.05,6999.0,5050.0,9484.0,18753.0,5208.0,9789.0,12981.0,4420.0,2177.0,5661.0,9859.0,11296.0,17975.0,7530.0,2004,256.0,80.65664704,292.0,94.03,EE,17221.0,(EST) Estonia,495.0,2566.0,(49) Specialist cattle,18505.0,25.47,324.64314805,53756.0
189036.0,1.0993274832,13067.28,36740.0,21099.0,172718.0,246252.0,65333.0,6551.0,49720.0,7958.0,61788.0,31771.0,6497.0,35308.0,270711.0,19887.0,2004,647.0,276.39716498,3190.0,91.59,EE,16810.0,(EST) Estonia,20195.0,17730.0,(50) Specialist granivores,151959.0,286.14,660.6396415,239587.0
9052.0,1.0714712302,4449.83,6859.0,2381.0,11553.0,22455.0,2622.0,6637.0,11781.0,6073.0,2084.0,5513.0,6712.0,9366.0,24060.0,12924.0,2004,140.0,209.40394317,371.0,70.71,EE,13169.0,(EST) Estonia,1832.0,3046.0,(80) Mixed crops and livestock,23007.0,13.52,620.24759203,50338.0
2511.0,0.8180804688,2214.27,74853.0,2579.0,38631.0,113727.0,2124.0,47716.0,76586.0,27064.0,7227.0,30910.0,45551.0,25068.0,93038.0,83299.0,2004,12725.0,721.89760559,3801.0,124.98,FR,58401.0,(FRA) France,3169.0,24491.0,(15) Specialist COP,17154.0,4.45,563.34720559,154720.0
10737.0,1.0097506643,3463.26,115996.0,6326.0,54133.0,168529.0,5194.0,37760.0,109650.0,26625.0,9532.0,46759.0,34813.0,37000.0,170173.0,149904.0,2004,17102.0,1426.4177284000002,5576.0,110.76,FR,47485.0,(FRA) France,14099.0,30860.0,(16) Specialist other fieldcrops,38029.0,13.22,735.19413369,201491.0
624.0,1.0929986638,7305.28,70269.0,655.0,58053.0,216687.0,195.0,4065.0,42272.0,13223.0,6078.0,70488.0,2529.0,25706.0,236839.0,230137.0,2004,3189.0,28439.305684,4688.0,8.72,FR,27435.0,(FRA) France,53071.0,27198.0,(20) Specialist horticulture,72589.0,1.14,548.80111299,142952.0
854.0,1.3482888612000001,4441.54,78468.0,738.0,15178.0,130258.0,363.0,4971.0,42529.0,204650.0,6472.0,45726.0,2119.0,49068.0,175625.0,168299.0,2004,15840.0,7074.0357162,4830.0,25.06,FR,130825.0,(FRA) France,26927.0,21756.0,(35) Specialist wine,36735.0,1.06,790.15539475,210828.0
2716.0,1.0574931067,7063.29,86851.0,737.0,26405.0,162594.0,311.0,12503.0,46354.0,21226.0,9137.0,53102.0,9767.0,21690.0,171942.0,160090.0,2004,6594.0,5463.2330436,3593.0,30.76,FR,71981.0,(FRA) France,49443.0,23458.0,(36) Specialist orchards - fruits,32103.0,2.11,1282.3776264,151174.0
3045.0,1.0516832603,5233.27,54986.0,1300.0,21496.0,130317.0,1205.0,10812.0,30852.0,75573.0,6441.0,45221.0,8666.0,19636.0,137053.0,127567.0,2004,8017.0,3544.2853867,4160.0,38.45,FR,80811.0,(FRA) France,32746.0,18678.0,(38) Permanent crops combined,31598.0,2.71,1122.5249945,144561.0
101511.0,1.0494661217,2753.31,57038.0,51013.0,36382.0,111130.0,22710.0,21901.0,56177.0,4242.0,2498.0,37724.0,20288.0,27090.0,116627.0,12618.0,2004,7760.0,175.52840335,4184.0,73.76,FR,30140.0,(FRA) France,1553.0,23528.0,(45) Specialist milk,71581.0,77.3,1313.2024835000002,208911.0
